,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Japan,0.25,,50.2,0,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-0.0,warmer,5.0,24.2,75.6,25.0,77.0,Database 2
1,Japan,0.25,,50.2,1,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-2.0,no change,5.0,24.2,75.6,25.0,77.0,Database 2
2,Japan,0.27,,50.2,2,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,0.0,no change,6.0,24.2,75.6,25.0,77.0,Database 2
3,Japan,0.23,,50.2,3,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-2.0,no change,4.0,24.2,75.6,25.0,77.0,Database 2
4,Japan,0.34,,50.2,4,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-0.0,no change,6.0,24.2,75.6,25.0,77.0,Database 2
5,Japan,0.23,,50.2,5,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,1.0,no change,1.0,24.2,75.6,25.0,77.0,Database 2
6,Japan,0.27,,50.2,6,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-1.0,no change,5.0,24.2,75.6,25.0,77.0,Database 2
7,Japan,0.43,,50.2,7,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-2.0,no change,4.0,24.2,75.6,25.0,77.0,Database 2
8,Japan,0.3,,50.2,8,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-2.0,cooler,3.0,24.2,75.6,25.0,77.0,Database 2
9,Japan,0.27,,50.2,9,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,0.0,no change,5.0,24.2,75.6,25.0,77.0,Database 2
