,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Humidity preference,Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Fan,Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Malaysia,0.73,1.2,61.0,,25217,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,26.9,80.4,,,,,,,,,,28.5,83.3,Database 2
1,Malaysia,0.52,1.2,62.0,,25218,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,24.5,76.1,,,,,,,,,,28.5,83.3,Database 2
2,Malaysia,0.62,1.2,61.0,,25219,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,24.1,75.4,,,,,,,,,,28.5,83.3,Database 2
3,Malaysia,0.68,1.2,61.0,,25220,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,24.1,75.4,,,,,,,,,,28.5,83.3,Database 2
4,Malaysia,0.59,1.2,61.0,,25221,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,24.0,75.2,,,,,,,,,,28.5,83.3,Database 2
5,Malaysia,0.5,1.2,61.0,,25222,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,24.0,75.2,,,,,,,,,,28.5,83.3,Database 2
6,Malaysia,0.56,1.2,60.0,,25223,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,25.5,77.9,,,,,,,,,,28.5,83.3,Database 2
7,Malaysia,0.56,1.0,60.0,,25224,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,25.5,77.9,,,,,,,,,,28.5,83.3,Database 2
8,Malaysia,0.66,1.0,55.0,,25225,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,28.8,83.8,,,,,,,,,,28.5,83.3,Database 2
9,Malaysia,0.72,1.0,55.0,,25226,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,28.8,83.8,,,,,,,,,,28.5,83.3,Database 2
10,Malaysia,0.67,1.2,55.0,,25227,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,24.7,76.5,,,,,,,,,,28.5,83.3,Database 2
11,Malaysia,0.89,1.1,58.0,,25228,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,24.9,76.8,,,,,,,,,,28.5,83.3,Database 2
12,Malaysia,0.76,1.0,53.0,,25229,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,30.4,86.7,,,,,,,,,,28.5,83.3,Database 2
13,Malaysia,0.71,1.0,54.0,,25230,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,30.4,86.7,,,,,,,,,,28.5,83.3,Database 2
14,Malaysia,0.59,1.8,54.0,,25231,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,25.9,78.6,,,,,,,,,,28.5,83.3,Database 2
15,Malaysia,0.84,1.2,55.0,,25232,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,24.9,76.8,,,,,,,,,,28.5,83.3,Database 2
16,Malaysia,0.62,1.0,53.0,,25233,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,24.7,76.5,,,,,,,,,,28.5,83.3,Database 2
17,Malaysia,0.73,1.2,53.0,,25234,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,24.7,76.5,,,,,,,,,,28.5,83.3,Database 2
