,Country,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Thermal sensation,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Subject«s height (cm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Mexico,33.0,0.6,65112,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,-2.0,18.1,64.6,17.8,64.0,118.11,155.0,19.4,67.0,Database 2
1,Mexico,22.0,0.6,65113,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,-2.0,17.5,63.5,18.9,66.0,118.11,154.0,19.4,67.0,Database 2
2,Mexico,17.0,0.3,65114,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,-2.0,18.6,65.5,18.6,65.5,59.06,158.0,19.4,67.0,Database 2
3,Mexico,20.0,0.5,65115,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,0.0,17.9,64.2,17.8,64.0,98.43,173.0,19.4,67.0,Database 2
4,Mexico,25.0,0.6,65116,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,0.0,20.1,68.2,17.7,63.9,118.11,161.0,19.4,67.0,Database 2
5,Mexico,27.0,0.7,65117,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,-1.0,18.2,64.8,16.2,61.2,137.8,168.0,19.4,67.0,Database 2
6,Mexico,18.0,0.6,65118,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,-2.0,13.2,55.8,14.3,57.7,118.11,152.0,19.4,67.0,Database 2
7,Mexico,15.0,0.6,65119,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,-2.0,13.0,55.4,14.4,57.9,118.11,151.0,19.4,67.0,Database 2
8,Mexico,26.0,0.8,65120,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,2.0,16.1,61.0,18.3,64.9,157.48,160.0,19.4,67.0,Database 2
9,Mexico,21.0,0.8,65121,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Multifamily housing,Mixed Mode,Unknown,-1.0,15.4,59.7,20.7,69.3,157.48,171.0,19.4,67.0,Database 2
