,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
0,Pakistan,1.22,36.34,29.34,0.6,0.89,73.0,0.36,90226,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.0,86.0,30.0,86.0,29.8,85.7,29.7,85.4,29.7,85.5,29.7,85.5,70.87,0.36,70.87,Database 1
1,Pakistan,1.21,35.83,28.93,0.6,0.89,72.3,0.5,90227,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.1,86.2,30.1,86.2,30.0,86.1,30.0,86.0,30.0,86.0,30.0,86.0,99.23,0.5,99.23,Database 1
2,Pakistan,2.12,81.9,32.99,0.6,1.88,71.4,0.88,90228,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.5,86.9,30.5,86.9,30.6,87.0,30.6,87.1,30.6,87.1,30.6,87.1,173.94,0.88,173.94,Database 1
3,Pakistan,1.83,68.8,30.0,0.6,1.13,72.0,0.83,90229,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,cooler,30.8,87.4,30.8,87.4,30.7,87.3,30.7,87.2,30.7,87.3,30.7,87.3,163.01,0.83,163.01,Database 1
4,Pakistan,1.66,59.36,28.39,0.6,1.01,69.6,1.49,90230,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,2.0,cooler,30.8,87.4,30.8,87.4,30.9,87.6,30.9,87.7,30.9,87.6,30.9,87.6,292.99,1.49,292.99,Database 1
5,Pakistan,1.92,73.05,29.63,0.6,1.01,68.9,0.83,90231,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.1,88.0,31.1,88.0,31.2,88.2,31.4,88.4,31.3,88.3,31.3,88.3,163.01,0.83,163.01,Database 1
6,Pakistan,1.34,42.4,29.55,0.6,0.77,66.8,0.58,90232,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,warmer,31.3,88.3,31.3,88.3,31.2,88.2,31.2,88.1,31.2,88.2,31.2,88.2,113.7,0.58,113.7,Database 1
7,Pakistan,1.6,56.45,29.44,0.6,0.89,67.0,0.62,90233,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.0,87.8,31.0,87.8,31.1,87.9,31.1,88.0,31.1,88.0,31.1,88.0,122.85,0.62,122.85,Database 1
8,Pakistan,2.25,86.73,32.24,0.6,1.88,67.8,1.66,90234,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.3,88.3,31.3,88.3,31.2,88.1,31.0,87.8,31.1,88.0,31.1,88.0,327.58,1.66,327.58,Database 1
9,Pakistan,2.05,78.81,31.82,0.6,1.01,67.7,0.22,90235,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,43.48,0.22,43.48,Database 1
