,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Philippines,0.2,6.0,26.23,0.75,1.2,41.5,0.12,20722,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,1.0,1.0,no change,1.0,no change,5.0,24.4,75.8,24.1,75.3,24.48,25.9,78.6,Database 2
1,Philippines,0.4,9.0,27.24,0.76,1.4,41.9,0.1,20723,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,5.0,24.0,75.3,23.8,74.8,20.61,25.9,78.6,Database 2
2,Philippines,-0.3,7.0,23.91,0.73,1.1,41.2,0.09,20724,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,warmer,1.0,no change,5.0,23.5,74.3,22.7,72.9,18.27,25.9,78.6,Database 2
3,Philippines,0.0,5.0,25.64,0.85,1.2,43.8,0.1,20725,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,5.0,22.8,73.0,22.5,72.5,19.19,25.9,78.6,Database 2
4,Philippines,0.5,9.0,27.33,0.73,1.5,45.0,0.03,20726,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,no change,4.0,23.1,73.5,23.4,74.1,5.54,25.9,78.6,Database 2
5,Philippines,-0.8,20.0,22.84,0.53,1.1,45.4,0.13,20727,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,0.0,warmer,0.0,less,4.0,23.4,74.1,23.4,74.1,26.51,25.9,78.6,Database 2
6,Philippines,0.3,7.0,26.52,0.57,1.5,41.8,0.13,20728,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,more,5.0,25.5,77.9,24.0,75.2,25.96,25.9,78.6,Database 2
7,Philippines,0.3,6.0,26.12,0.72,1.2,43.4,0.09,20729,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,cooler,1.0,no change,5.0,24.5,76.1,24.0,75.2,17.22,25.9,78.6,Database 2
8,Philippines,0.3,7.0,26.41,0.87,1.1,41.9,0.07,20730,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,5.0,24.3,75.7,24.2,75.6,12.86,25.9,78.6,Database 2
9,Philippines,0.1,5.0,25.75,0.81,1.2,41.3,0.09,20731,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,5.0,24.0,75.2,23.5,74.4,17.72,25.9,78.6,Database 2
10,Philippines,-0.3,6.0,23.97,0.49,1.2,41.8,0.08,20732,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,no change,6.0,23.9,75.0,23.8,74.8,15.32,25.9,78.6,Database 2
11,Philippines,0.1,5.0,25.89,0.81,1.2,41.6,0.12,20733,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,6.0,24.0,75.2,23.7,74.7,24.48,25.9,78.6,Database 2
12,Philippines,-0.1,5.0,24.39,0.51,1.3,40.8,0.09,20734,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,more,6.0,24.1,75.5,23.8,74.9,18.21,25.9,78.6,Database 2
13,Philippines,-0.1,5.0,25.16,0.6,1.3,40.8,0.13,20735,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,6.0,24.0,75.3,23.9,75.0,25.04,25.9,78.6,Database 2
14,Philippines,-0.6,12.0,23.03,0.45,1.3,46.6,0.14,20736,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,5.0,24.5,76.2,23.3,73.9,27.31,25.9,78.6,Database 2
15,Philippines,-0.8,18.0,22.34,0.67,1.1,47.5,0.48,20737,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,0.0,less,5.0,23.9,75.1,23.7,74.7,94.67,25.9,78.6,Database 2
16,Philippines,0.1,5.0,25.62,0.76,1.4,44.9,0.2,20738,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,warmer,1.0,no change,5.0,23.4,74.1,22.8,73.0,38.51,25.9,78.6,Database 2
17,Philippines,-0.2,6.0,24.56,0.84,1.2,44.9,0.2,20739,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,5.0,23.4,74.1,22.8,73.0,38.51,25.9,78.6,Database 2
18,Philippines,-0.3,7.0,24.38,0.88,1.1,44.9,0.2,20740,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,cooler,1.0,no change,5.0,23.4,74.1,22.8,73.0,38.51,25.9,78.6,Database 2
19,Philippines,0.2,6.0,26.08,0.76,1.2,42.7,0.06,20741,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,5.0,23.9,75.0,24.3,75.8,11.38,25.9,78.6,Database 2
20,Philippines,0.4,9.0,26.89,0.69,1.3,42.8,0.07,20742,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,0.0,cooler,1.0,more,5.0,23.9,75.0,24.4,75.8,12.86,25.9,78.6,Database 2
21,Philippines,0.4,8.0,26.88,0.83,1.2,41.9,0.1,20743,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,4.0,24.4,75.9,24.5,76.2,20.35,25.9,78.6,Database 2
22,Philippines,0.8,19.0,29.0,0.73,1.6,41.9,0.09,20744,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,no change,5.0,24.4,75.9,24.5,76.2,17.29,25.9,78.6,Database 2
