,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Portugal,1.1,28.0,30.06,0.63,1.5,62.3,0.0,50196,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.7,78.3,27.3,81.1,26.8,80.2,no change,0.0,0.0,18.3,64.9,Database 2
1,Portugal,0.8,18.0,28.48,0.7,1.2,61.7,0.0,50197,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,less,25.4,77.7,27.1,80.8,26.6,79.9,no change,0.0,0.0,18.3,64.9,Database 2
2,Portugal,0.7,15.0,27.7,0.67,1.1,59.7,0.1,50198,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,cooler,less,25.6,78.1,27.2,81.0,26.7,80.1,no change,0.0,19.69,18.3,64.9,Database 2
3,Portugal,0.6,12.0,27.49,0.62,1.2,60.8,0.0,50199,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.1,77.2,26.9,80.4,26.3,79.3,no change,0.0,0.0,18.3,64.9,Database 2
4,Portugal,0.7,16.0,28.29,0.67,1.2,60.5,0.1,50200,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,no change,24.8,76.6,27.0,80.6,26.1,79.0,no change,1.0,19.69,18.3,64.9,Database 2
5,Portugal,0.8,18.0,28.65,0.73,1.2,60.9,0.1,50201,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,less,24.9,76.8,26.6,79.9,26.0,78.8,drier,-1.0,19.69,18.3,64.9,Database 2
6,Portugal,1.1,32.0,31.33,0.88,1.4,60.7,0.1,50202,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,cooler,no change,24.7,76.5,26.9,80.4,26.0,78.8,no change,0.0,19.69,18.3,64.9,Database 2
7,Portugal,0.6,13.0,27.68,0.61,1.2,59.4,0.1,50203,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,cooler,less,25.1,77.2,26.6,79.9,26.0,78.8,no change,0.0,19.69,18.3,64.9,Database 2
8,Portugal,1.0,25.0,29.78,0.63,1.5,59.6,0.1,50204,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.0,77.0,27.0,80.6,26.2,79.2,drier,-1.0,19.69,18.3,64.9,Database 2
9,Portugal,1.3,38.0,32.4,0.96,1.5,60.9,0.1,50205,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,less,24.5,76.1,27.2,81.0,26.1,79.0,drier,-1.0,19.69,18.3,64.9,Database 2
10,Portugal,0.8,20.0,28.98,0.75,1.2,60.7,0.1,50206,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,less,24.6,76.3,27.5,81.5,26.2,79.2,no change,0.0,19.69,18.3,64.9,Database 2
11,Portugal,0.9,21.0,29.07,0.56,1.4,60.4,0.1,50207,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,cooler,less,25.1,77.2,27.3,81.1,26.4,79.5,drier,-1.0,19.69,18.3,64.9,Database 2
12,Portugal,0.9,21.0,29.01,0.64,1.4,59.5,0.0,50208,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.3,77.5,27.0,80.6,26.4,79.5,more humid,1.0,0.0,18.3,64.9,Database 2
13,Portugal,0.9,21.0,29.19,0.66,1.3,61.5,0.1,50209,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.5,77.9,26.7,80.1,26.2,79.2,drier,-1.0,19.69,18.3,64.9,Database 2
14,Portugal,0.8,18.0,28.47,0.68,1.3,59.4,0.0,50210,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.4,77.7,26.8,80.2,26.4,79.5,drier,-1.0,0.0,18.3,64.9,Database 2
