,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
0,Singapore,0.6,13.0,,,,62.0,0.17,81751,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
1,Singapore,0.6,13.0,,,,62.0,0.17,81752,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
2,Singapore,0.6,13.0,,,,62.0,0.17,81753,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
3,Singapore,0.6,13.0,,,,62.0,0.17,81754,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
4,Singapore,0.6,13.0,,,,62.0,0.17,81755,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
5,Singapore,0.6,13.0,,,,62.0,0.17,81756,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
6,Singapore,0.6,13.0,,,,62.0,0.17,81757,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-2.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
7,Singapore,0.6,13.0,,,,62.0,0.17,81758,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
8,Singapore,0.6,13.0,,,,62.0,0.17,81759,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-2.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
9,Singapore,0.6,13.0,,,,62.0,0.17,81760,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,23.4,74.1,,,,,33.46,,,Database 2
10,Singapore,0.7,14.0,,,,62.0,0.16,81761,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
11,Singapore,0.7,14.0,,,,62.0,0.16,81762,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
12,Singapore,0.7,14.0,,,,62.0,0.16,81763,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
13,Singapore,0.7,14.0,,,,62.0,0.16,81764,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
14,Singapore,0.7,14.0,,,,62.0,0.16,81765,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
15,Singapore,0.7,14.0,,,,62.0,0.16,81766,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
16,Singapore,0.7,14.0,,,,62.0,0.16,81767,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
17,Singapore,0.7,14.0,,,,62.0,0.16,81768,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
18,Singapore,0.7,14.0,,,,62.0,0.16,81769,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,2.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
19,Singapore,0.7,14.0,,,,62.0,0.16,81770,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
20,Singapore,0.7,14.0,,,,62.0,0.16,81771,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
21,Singapore,0.7,14.0,,,,62.0,0.16,81772,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
22,Singapore,0.7,14.0,,,,62.0,0.16,81773,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
23,Singapore,0.7,14.0,,,,62.0,0.16,81774,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
24,Singapore,0.7,14.0,,,,62.0,0.16,81775,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-2.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
25,Singapore,0.7,14.0,,,,62.0,0.16,81776,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
26,Singapore,0.7,14.0,,,,62.0,0.16,81777,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-2.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
27,Singapore,0.7,14.0,,,,62.0,0.16,81778,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,2.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
28,Singapore,0.7,14.0,,,,62.0,0.16,81779,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
29,Singapore,0.7,14.0,,,,62.0,0.16,81780,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
30,Singapore,0.7,14.0,,,,62.0,0.16,81781,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
31,Singapore,0.7,14.0,,,,62.0,0.16,81782,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
32,Singapore,0.7,14.0,,,,62.0,0.16,81783,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,2.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
33,Singapore,0.7,14.0,,,,62.0,0.16,81784,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
34,Singapore,0.7,14.0,,,,62.0,0.16,81785,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
35,Singapore,0.7,14.0,,,,62.0,0.16,81786,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-2.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
36,Singapore,0.7,14.0,,,,62.0,0.16,81787,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
37,Singapore,0.7,14.0,,,,62.0,0.16,81788,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
38,Singapore,0.7,14.0,,,,62.0,0.16,81789,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1.0,22.8,73.0,,,,,24.2,75.6,,,,,31.5,,,Database 2
