,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Sweden,1.3,39.0,30.48,0.45,2.3,43.4,0.0,49955,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,no change,25.0,77.0,25.0,77.0,25.0,77.0,no change,-1.0,0.0,,,Database 2
1,Sweden,0.4,9.0,26.36,0.58,1.2,41.8,0.0,49956,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2.0,cooler,more,25.6,78.1,25.9,78.6,25.8,78.4,more humid,2.0,0.0,,,Database 2
2,Sweden,0.5,10.0,26.76,0.6,1.2,41.8,0.0,49957,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,less,25.7,78.3,26.3,79.3,26.2,79.2,drier,-1.0,0.0,,,Database 2
3,Sweden,0.6,12.0,27.0,0.63,1.2,40.1,0.0,49958,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,no change,25.8,78.4,26.4,79.5,26.3,79.3,no change,0.0,0.0,,,Database 2
4,Sweden,0.6,12.0,26.9,0.57,1.2,39.8,0.0,49959,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,no change,26.0,78.8,27.0,80.6,26.8,80.2,more humid,1.0,0.0,,,Database 2
5,Sweden,0.3,6.0,25.59,0.44,1.2,41.0,0.0,49961,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2.0,cooler,less,25.7,78.3,26.5,79.7,26.3,79.3,more humid,3.0,0.0,,,Database 2
6,Sweden,0.7,15.0,27.44,0.51,1.4,41.7,0.0,49962,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2.0,cooler,more,25.7,78.3,26.9,80.4,26.5,79.7,no change,-1.0,0.0,,,Database 2
7,Sweden,0.8,20.0,28.3,0.53,1.6,41.2,0.0,49964,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2.0,cooler,less,25.5,77.9,26.1,79.0,26.0,78.8,drier,-2.0,0.0,,,Database 2
8,Sweden,0.3,7.0,26.14,0.61,1.2,39.8,0.0,49966,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,no change,25.0,77.0,25.9,78.6,25.6,78.1,more humid,3.0,0.0,,,Database 2
9,Sweden,0.0,5.0,24.68,0.44,1.2,39.4,0.0,49967,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,-1.0,cooler,no change,24.7,76.5,25.9,78.6,25.5,77.9,no change,0.0,0.0,,,Database 2
