,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
0,Thailand,-0.1,5.19,25.39,0.65,1.1,62.0,0.14,82085,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,37.0,0.0,cooler,23.8,74.8,23.8,74.8,24.3,75.8,24.9,76.8,27.56,0.14,27.56,Database 1
1,Thailand,0.05,5.05,25.28,0.56,1.1,61.3,0.09,82086,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26.0,1.0,cooler,24.3,75.7,24.3,75.7,24.8,76.7,25.4,77.7,17.72,0.09,17.72,Database 1
2,Thailand,-0.59,12.37,23.37,0.56,1.1,62.0,0.24,82087,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26.0,1.0,no change,23.5,74.3,23.5,74.3,24.2,75.6,25.0,76.9,47.24,0.24,47.24,Database 1
3,Thailand,-0.12,5.29,25.13,0.65,1.1,61.4,0.12,82088,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,37.0,1.0,cooler,23.6,74.5,23.6,74.5,24.1,75.4,24.6,76.2,23.62,0.12,23.62,Database 1
4,Thailand,0.04,5.03,25.48,0.56,1.1,58.3,0.11,82089,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31.0,1.0,cooler,24.5,76.1,24.5,76.1,25.1,77.2,25.7,78.2,21.65,0.11,21.65,Database 1
5,Thailand,0.08,5.13,25.69,0.56,1.1,57.0,0.12,82090,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,39.0,1.0,cooler,24.9,76.8,24.9,76.8,25.3,77.6,25.8,78.4,23.62,0.12,23.62,Database 1
6,Thailand,0.09,5.17,25.87,0.69,1.1,60.6,0.12,82091,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27.0,-1.0,no change,24.3,75.7,24.3,75.7,24.5,76.1,24.7,76.5,23.62,0.12,23.62,Database 1
7,Thailand,0.17,5.58,26.42,0.84,1.1,60.0,0.15,82092,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,51.0,1.0,cooler,23.9,75.0,23.9,75.0,24.2,75.5,24.4,76.0,29.53,0.15,29.53,Database 1
8,Thailand,0.08,5.14,25.56,0.65,1.1,59.1,0.1,82093,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,75.0,-2.0,warmer,24.4,75.9,24.4,75.9,24.6,76.2,24.7,76.5,19.69,0.1,19.69,Database 1
9,Thailand,-0.15,5.49,24.54,0.47,1.1,59.3,0.1,82094,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31.0,1.0,cooler,24.6,76.3,24.6,76.3,24.9,76.9,25.2,77.4,19.69,0.1,19.69,Database 1
