,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
90226,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,1.22,36.34,29.34,0.6,0.89,,,,,30.0,86.0,,,30.0,86.0,,,29.8,85.7,29.7,85.4,29.7,85.5,,,29.7,85.5,,,73.0,,,0.36,70.87,,,0.36,70.87,,,,,,,,,,,,Database 1
90227,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,1.21,35.83,28.93,0.6,0.89,,,,,30.1,86.2,,,30.1,86.2,,,30.0,86.1,30.0,86.0,30.0,86.0,,,30.0,86.0,,,72.3,,,0.5,99.23,,,0.5,99.23,,,,,,,,,,,,Database 1
90228,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,2.12,81.9,32.99,0.6,1.88,,,,,30.5,86.9,,,30.5,86.9,,,30.6,87.0,30.6,87.1,30.6,87.1,,,30.6,87.1,,,71.4,,,0.88,173.94,,,0.88,173.94,,,,,,,,,,,,Database 1
90229,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,cooler,,,,1.83,68.8,30.0,0.6,1.13,,,,,30.8,87.4,,,30.8,87.4,,,30.7,87.3,30.7,87.2,30.7,87.3,,,30.7,87.3,,,72.0,,,0.83,163.01,,,0.83,163.01,,,,,,,,,,,,Database 1
90230,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,2.0,,cooler,,,,1.66,59.36,28.39,0.6,1.01,,,,,30.8,87.4,,,30.8,87.4,,,30.9,87.6,30.9,87.7,30.9,87.6,,,30.9,87.6,,,69.6,,,1.49,292.99,,,1.49,292.99,,,,,,,,,,,,Database 1
90231,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,1.92,73.05,29.63,0.6,1.01,,,,,31.1,88.0,,,31.1,88.0,,,31.2,88.2,31.4,88.4,31.3,88.3,,,31.3,88.3,,,68.9,,,0.83,163.01,,,0.83,163.01,,,,,,,,,,,,Database 1
90232,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,warmer,,,,1.34,42.4,29.55,0.6,0.77,,,,,31.3,88.3,,,31.3,88.3,,,31.2,88.2,31.2,88.1,31.2,88.2,,,31.2,88.2,,,66.8,,,0.58,113.7,,,0.58,113.7,,,,,,,,,,,,Database 1
90233,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,1.6,56.45,29.44,0.6,0.89,,,,,31.0,87.8,,,31.0,87.8,,,31.1,87.9,31.1,88.0,31.1,88.0,,,31.1,88.0,,,67.0,,,0.62,122.85,,,0.62,122.85,,,,,,,,,,,,Database 1
90234,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,2.25,86.73,32.24,0.6,1.88,,,,,31.3,88.3,,,31.3,88.3,,,31.2,88.1,31.0,87.8,31.1,88.0,,,31.1,88.0,,,67.8,,,1.66,327.58,,,1.66,327.58,,,,,,,,,,,,Database 1
90235,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,2.05,78.81,31.82,0.6,1.01,,,,,31.0,87.8,,,31.0,87.8,,,31.0,87.8,31.0,87.8,31.0,87.8,,,31.0,87.8,,,67.7,,,0.22,43.48,,,0.22,43.48,,,,,,,,,,,,Database 1
