,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
20722,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,1.0,1.0,no change,1.0,no change,5.0,0.2,6.0,26.23,0.75,1.2,,,,,24.4,75.8,,,,,,,,,,,,,24.1,75.3,,,,,41.5,,,0.12,24.48,,,,,,,,,,,,,,25.9,78.6,Database 2
20723,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-1.0,1.0,no change,1.0,no change,5.0,0.4,9.0,27.24,0.76,1.4,,,,,24.0,75.3,,,,,,,,,,,,,23.8,74.8,,,,,41.9,,,0.1,20.61,,,,,,,,,,,,,,25.9,78.6,Database 2
20724,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,-2.0,1.0,warmer,1.0,no change,5.0,-0.3,7.0,23.91,0.73,1.1,,,,,23.5,74.3,,,,,,,,,,,,,22.7,72.9,,,,,41.2,,,0.09,18.27,,,,,,,,,,,,,,25.9,78.6,Database 2
20725,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-2.0,1.0,no change,1.0,no change,5.0,0.0,5.0,25.64,0.85,1.2,,,,,22.8,73.0,,,,,,,,,,,,,22.5,72.5,,,,,43.8,,,0.1,19.19,,,,,,,,,,,,,,25.9,78.6,Database 2
20726,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,0.0,1.0,no change,1.0,no change,4.0,0.5,9.0,27.33,0.73,1.5,,,,,23.1,73.5,,,,,,,,,,,,,23.4,74.1,,,,,45.0,,,0.03,5.54,,,,,,,,,,,,,,25.9,78.6,Database 2
20727,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-2.0,0.0,warmer,0.0,less,4.0,-0.8,20.0,22.84,0.53,1.1,,,,,23.4,74.1,,,,,,,,,,,,,23.4,74.1,,,,,45.4,,,0.13,26.51,,,,,,,,,,,,,,25.9,78.6,Database 2
20728,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-2.0,1.0,no change,1.0,more,5.0,0.3,7.0,26.52,0.57,1.5,,,,,25.5,77.9,,,,,,,,,,,,,24.0,75.2,,,,,41.8,,,0.13,25.96,,,,,,,,,,,,,,25.9,78.6,Database 2
20729,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,0.0,1.0,cooler,1.0,no change,5.0,0.3,6.0,26.12,0.72,1.2,,,,,24.5,76.1,,,,,,,,,,,,,24.0,75.2,,,,,43.4,,,0.09,17.22,,,,,,,,,,,,,,25.9,78.6,Database 2
20730,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-1.0,1.0,no change,1.0,no change,5.0,0.3,7.0,26.41,0.87,1.1,,,,,24.3,75.7,,,,,,,,,,,,,24.2,75.6,,,,,41.9,,,0.07,12.86,,,,,,,,,,,,,,25.9,78.6,Database 2
20731,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,-1.0,1.0,no change,1.0,no change,5.0,0.1,5.0,25.75,0.81,1.2,,,,,24.0,75.2,,,,,,,,,,,,,23.5,74.4,,,,,41.3,,,0.09,17.72,,,,,,,,,,,,,,25.9,78.6,Database 2
20732,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,0.0,1.0,no change,1.0,no change,6.0,-0.3,6.0,23.97,0.49,1.2,,,,,23.9,75.0,,,,,,,,,,,,,23.8,74.8,,,,,41.8,,,0.08,15.32,,,,,,,,,,,,,,25.9,78.6,Database 2
20733,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,-1.0,1.0,no change,1.0,no change,6.0,0.1,5.0,25.89,0.81,1.2,,,,,24.0,75.2,,,,,,,,,,,,,23.7,74.7,,,,,41.6,,,0.12,24.48,,,,,,,,,,,,,,25.9,78.6,Database 2
20734,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,0.0,1.0,no change,1.0,more,6.0,-0.1,5.0,24.39,0.51,1.3,,,,,24.1,75.5,,,,,,,,,,,,,23.8,74.9,,,,,40.8,,,0.09,18.21,,,,,,,,,,,,,,25.9,78.6,Database 2
