,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
50196,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Male,1.0,,cooler,,less,,1.1,28.0,30.06,0.63,1.5,,,,,25.7,78.3,,,,,,,,,27.3,81.1,26.8,80.2,,,,,,,62.3,no change,0.0,0.0,0.0,,,,,,,,,,,,,,18.3,64.9,Database 2
50197,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Female,0.0,,no change,,less,,0.8,18.0,28.48,0.7,1.2,,,,,25.4,77.7,,,,,,,,,27.1,80.8,26.6,79.9,,,,,,,61.7,no change,0.0,0.0,0.0,,,,,,,,,,,,,,18.3,64.9,Database 2
50198,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,cooler,,less,,0.7,15.0,27.7,0.67,1.1,,,,,25.6,78.1,,,,,,,,,27.2,81.0,26.7,80.1,,,,,,,59.7,no change,0.0,0.1,19.69,,,,,,,,,,,,,,18.3,64.9,Database 2
50199,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Female,1.0,,cooler,,less,,0.6,12.0,27.49,0.62,1.2,,,,,25.1,77.2,,,,,,,,,26.9,80.4,26.3,79.3,,,,,,,60.8,no change,0.0,0.0,0.0,,,,,,,,,,,,,,18.3,64.9,Database 2
50200,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Female,1.0,,cooler,,no change,,0.7,16.0,28.29,0.67,1.2,,,,,24.8,76.6,,,,,,,,,27.0,80.6,26.1,79.0,,,,,,,60.5,no change,1.0,0.1,19.69,,,,,,,,,,,,,,18.3,64.9,Database 2
50201,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,no change,,less,,0.8,18.0,28.65,0.73,1.2,,,,,24.9,76.8,,,,,,,,,26.6,79.9,26.0,78.8,,,,,,,60.9,drier,-1.0,0.1,19.69,,,,,,,,,,,,,,18.3,64.9,Database 2
50202,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,cooler,,no change,,1.1,32.0,31.33,0.88,1.4,,,,,24.7,76.5,,,,,,,,,26.9,80.4,26.0,78.8,,,,,,,60.7,no change,0.0,0.1,19.69,,,,,,,,,,,,,,18.3,64.9,Database 2
50203,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Female,0.0,,cooler,,less,,0.6,13.0,27.68,0.61,1.2,,,,,25.1,77.2,,,,,,,,,26.6,79.9,26.0,78.8,,,,,,,59.4,no change,0.0,0.1,19.69,,,,,,,,,,,,,,18.3,64.9,Database 2
50204,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Male,1.0,,cooler,,less,,1.0,25.0,29.78,0.63,1.5,,,,,25.0,77.0,,,,,,,,,27.0,80.6,26.2,79.2,,,,,,,59.6,drier,-1.0,0.1,19.69,,,,,,,,,,,,,,18.3,64.9,Database 2
50205,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Portugal,Office,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,no change,,less,,1.3,38.0,32.4,0.96,1.5,,,,,24.5,76.1,,,,,,,,,27.2,81.0,26.1,79.0,,,,,,,60.9,drier,-1.0,0.1,19.69,,,,,,,,,,,,,,18.3,64.9,Database 2
