,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
81751,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,1.0,,,,,3.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-1.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81752,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,1.0,,,,,5.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,0.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81753,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,-1.0,,,,,5.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-1.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81754,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,1.0,,,,,5.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-1.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81755,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,-1.0,,,,,5.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-1.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81756,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,-1.0,,,,,3.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-2.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81757,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,-2.0,,,,,2.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-3.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81758,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,0.0,,,,,5.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,0.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81759,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,-2.0,,,,,3.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-2.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
81760,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Air Conditioned,,,,,-1.0,,,,,5.0,0.6,13.0,,,,,,,,22.8,73.0,,,,,,,,,23.4,74.1,,,,,,,,,62.0,,-1.0,0.17,33.46,,,,,,,,,,,,,,28.3,82.9,Database 2
