,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
61718,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,31.0,Female,0.0,,,,,,,,,0.75,,,,,,26.0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61719,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,31.0,Male,1.0,,,,,,,,,0.7,,,,,,26.0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61720,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,29.0,Female,0.0,,,,,,,,,0.55,,,,,,26.0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61721,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,26.0,Female,0.0,0.0,,,,,,,,0.63,,,,,,26.0,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61722,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,34.0,Male,0.0,1.0,,,,,,,,0.7,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61723,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,34.0,Male,1.0,,,,,,,,,0.7,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61724,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,26.0,Female,1.0,,,,,,,,,0.88,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61725,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,31.0,Male,1.0,0.0,,,,,,,,0.7,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61726,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,33.0,Male,0.0,0.0,,,,,,,,0.7,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61727,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,26.0,Female,1.0,0.0,,,,,,,,0.7,,,,,,26.0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,13.0,55.4,Database 2
