,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
49955,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,1.0,,cooler,,no change,,1.3,39.0,30.48,0.45,2.3,,,,,25.0,77.0,,,,,,,,,25.0,77.0,25.0,77.0,,,,,,,43.4,no change,-1.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49956,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,2.0,,cooler,,more,,0.4,9.0,26.36,0.58,1.2,,,,,25.6,78.1,,,,,,,,,25.9,78.6,25.8,78.4,,,,,,,41.8,more humid,2.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49957,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,1.0,,cooler,,less,,0.5,10.0,26.76,0.6,1.2,,,,,25.7,78.3,,,,,,,,,26.3,79.3,26.2,79.2,,,,,,,41.8,drier,-1.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49958,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,0.0,,no change,,no change,,0.6,12.0,27.0,0.63,1.2,,,,,25.8,78.4,,,,,,,,,26.4,79.5,26.3,79.3,,,,,,,40.1,no change,0.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49959,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,1.0,,cooler,,no change,,0.6,12.0,26.9,0.57,1.2,,,,,26.0,78.8,,,,,,,,,27.0,80.6,26.8,80.2,,,,,,,39.8,more humid,1.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49961,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Female,3.0,,cooler,,less,,0.3,6.0,25.59,0.44,1.2,,,,,25.7,78.3,,,,,,,,,26.5,79.7,26.3,79.3,,,,,,,41.0,more humid,3.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49962,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Female,2.0,,cooler,,more,,0.7,15.0,27.44,0.51,1.4,,,,,25.7,78.3,,,,,,,,,26.9,80.4,26.5,79.7,,,,,,,41.7,no change,-1.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49964,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,2.0,,cooler,,less,,0.8,20.0,28.3,0.53,1.6,,,,,25.5,77.9,,,,,,,,,26.1,79.0,26.0,78.8,,,,,,,41.2,drier,-2.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49966,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Female,0.0,,no change,,no change,,0.3,7.0,26.14,0.61,1.2,,,,,25.0,77.0,,,,,,,,,25.9,78.6,25.6,78.1,,,,,,,39.8,more humid,3.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49967,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,-1.0,,cooler,,no change,,0.0,5.0,24.68,0.44,1.2,,,,,24.7,76.5,,,,,,,,,25.9,78.6,25.5,77.9,,,,,,,39.4,no change,0.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
