,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
82085,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,37.0,Male,0.5,,cooler,,,,-0.1,5.19,25.39,0.65,1.1,,,,,23.8,74.8,,,23.8,74.8,,,24.3,75.8,24.9,76.8,,,,,,,,,62.0,,,0.14,27.56,,,0.14,27.56,,,,,,,,,,,,Database 1
82086,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,26.0,Male,1.0,,cooler,,,,0.05,5.05,25.28,0.56,1.1,,,,,24.3,75.7,,,24.3,75.7,,,24.8,76.7,25.4,77.7,,,,,,,,,61.3,,,0.09,17.72,,,0.09,17.72,,,,,,,,,,,,Database 1
82087,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,26.0,Male,1.0,,no change,,,,-0.59,12.37,23.37,0.56,1.1,,,,,23.5,74.3,,,23.5,74.3,,,24.2,75.6,25.0,76.9,,,,,,,,,62.0,,,0.24,47.24,,,0.24,47.24,,,,,,,,,,,,Database 1
82088,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,37.0,Male,1.0,,cooler,,,,-0.12,5.29,25.13,0.65,1.1,,,,,23.6,74.5,,,23.6,74.5,,,24.1,75.4,24.6,76.2,,,,,,,,,61.4,,,0.12,23.62,,,0.12,23.62,,,,,,,,,,,,Database 1
82089,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,31.0,Male,1.0,,cooler,,,,0.04,5.03,25.48,0.56,1.1,,,,,24.5,76.1,,,24.5,76.1,,,25.1,77.2,25.7,78.2,,,,,,,,,58.3,,,0.11,21.65,,,0.11,21.65,,,,,,,,,,,,Database 1
82090,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,39.0,Male,1.0,,cooler,,,,0.08,5.13,25.69,0.56,1.1,,,,,24.9,76.8,,,24.9,76.8,,,25.3,77.6,25.8,78.4,,,,,,,,,57.0,,,0.12,23.62,,,0.12,23.62,,,,,,,,,,,,Database 1
82091,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,27.0,Female,-1.0,,no change,,,,0.09,5.17,25.87,0.69,1.1,,,,,24.3,75.7,,,24.3,75.7,,,24.5,76.1,24.7,76.5,,,,,,,,,60.6,,,0.12,23.62,,,0.12,23.62,,,,,,,,,,,,Database 1
82092,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,51.0,Male,1.0,,cooler,,,,0.17,5.58,26.42,0.84,1.1,,,,,23.9,75.0,,,23.9,75.0,,,24.2,75.5,24.4,76.0,,,,,,,,,60.0,,,0.15,29.53,,,0.15,29.53,,,,,,,,,,,,Database 1
82093,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,75.0,Male,-2.0,,warmer,,,,0.08,5.14,25.56,0.65,1.1,,,,,24.4,75.9,,,24.4,75.9,,,24.6,76.2,24.7,76.5,,,,,,,,,59.1,,,0.1,19.69,,,0.1,19.69,,,,,,,,,,,,Database 1
82094,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988.0,Spring,Aw,Tropical wet savanna,Bangkok,Thailand,Office,Air Conditioned,,,31.0,Female,1.0,,cooler,,,,-0.15,5.49,24.54,0.47,1.1,,,,,24.6,76.3,,,24.6,76.3,,,24.9,76.9,25.2,77.4,,,,,,,,,59.3,,,0.1,19.69,,,0.1,19.69,,,,,,,,,,,,Database 1
