,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
27025,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Multifamily housing,Naturally Ventilated,,,,,0.0,,,,,5.0,-1.2,34.0,20.61,0.83,1.2,1.0,,1.6,,17.4,63.3,,,17.4,63.3,,,17.5,63.4,,,,,,,17.5,63.5,,,77.0,,,0.05,10.31,,,0.05,10.31,,,,,0.0,,,,0.0,12.0,53.6,Database 2
27026,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Multifamily housing,Naturally Ventilated,,,,,0.0,,,,,5.0,-2.4,92.0,17.73,0.77,1.0,1.0,,1.0,,15.9,60.6,,,15.9,60.6,,,16.3,61.4,,,,,,,16.6,61.9,,,72.0,,,0.05,8.92,,,0.05,8.92,,,,,0.0,,,,0.0,12.0,53.6,Database 2
27027,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Multifamily housing,Naturally Ventilated,,,,,0.0,,,,,5.0,,,,0.87,1.6,1.6,,1.6,,,,,,14.7,58.5,,,,,,,,,,,15.1,59.2,,,78.0,,,0.47,92.49,,,0.47,92.56,,,,,,,,,,12.0,53.6,Database 2
27028,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Multifamily housing,Naturally Ventilated,,,,,1.0,,,,,2.0,,,,1.76,,,,,,16.3,61.3,,,16.3,61.3,,,,,,,,,,,17.0,62.6,,,75.0,,,0.08,15.78,,,0.08,15.79,,,,,0.0,,,,0.0,12.0,53.6,Database 2
27029,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Multifamily housing,Naturally Ventilated,,,,,1.0,,,,,5.0,-0.3,7.0,24.4,1.07,1.5,1.0,,2.8,,15.6,60.1,,,15.6,60.1,,,,,,,,,,,15.7,60.3,,,70.0,,,0.1,18.73,,,0.1,18.75,,,,,1.0,,,,0.0,12.0,53.6,Database 2
27030,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Office,Naturally Ventilated,,,,,0.0,,,,,2.0,0.2,6.0,27.18,1.52,1.1,1.0,,1.2,,18.8,65.9,,,18.8,65.9,,,,,,,,,,,20.9,69.7,,,52.0,,,0.06,12.69,,,0.06,12.7,,,,,0.0,,,,0.0,12.0,53.6,Database 2
27031,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Office,Naturally Ventilated,,,,,-2.0,,,,,5.0,-0.9,23.0,21.75,1.26,1.1,1.0,,1.2,,16.3,61.3,,,16.3,61.3,,,,,,,,,,,16.6,61.9,,,72.0,,,0.07,13.57,,,0.07,13.58,,,,,0.0,,,,1.0,12.0,53.6,Database 2
27032,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Office,Naturally Ventilated,,,,,-1.0,,,,,5.0,-0.6,13.0,23.06,1.12,1.2,1.2,,1.2,,17.0,62.6,,,17.0,62.6,,,,,,,,,,,17.4,63.3,,,71.0,,,0.11,20.94,,,0.11,20.95,,,,,0.0,,,,1.0,12.0,53.6,Database 2
27033,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Office,Naturally Ventilated,,,,,-3.0,,,,,2.0,-0.7,14.0,23.33,1.47,1.1,1.0,,1.2,,16.3,61.3,,,16.3,61.3,,,,,,,,,,,16.7,62.1,,,70.0,,,0.13,24.88,,,0.13,24.9,,,,,0.0,,,,0.0,12.0,53.6,Database 2
27034,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BWh,Hot desert,Gabes,Tunisia,Office,Naturally Ventilated,,,,,2.0,,,,,2.0,-0.6,13.0,23.43,1.39,1.2,1.0,,1.6,,15.6,60.1,,,15.6,60.1,,,,,,,,,,,15.8,60.4,,,76.0,,,0.14,27.58,,,0.14,27.6,,,,,0.0,,,,0.0,12.0,53.6,Database 2
