,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Subject«s weight (kg),Outdoor monthly air temperature (¡F)
0,0.3,7,26.48,0.75,1,25.2,64,0.1,-2,1,77.4,25.2,77.4,19.69,52,87.4
1,0.1,5,25.65,0.64,1,25.2,64,0.1,-1,1,77.4,25.2,77.4,19.69,69,87.4
2,0.1,5,25.65,0.64,1,25.2,64,0.1,-2,1,77.4,25.2,77.4,19.69,76,87.4
3,0.3,7,26.48,0.75,1,25.2,64,0.1,-2,1,77.4,25.2,77.4,19.69,52,87.4
4,0.2,6,26.26,0.72,1,25.2,64,0.1,0,1,77.4,25.2,77.4,19.69,72,87.4
5,0.2,6,26.26,0.72,1,25.2,64,0.1,-1,1,77.4,25.2,77.4,19.69,70,87.4
6,0.1,5,25.65,0.64,1,25.2,64,0.1,0,1,77.4,25.2,77.4,19.69,83,87.4
7,1.1,32,29.79,0.97,1,26.9,63,0.02,2,1,80.4,26.8,80.2,3.94,50,87.4
8,0.7,17,27.7,0.66,1,26.9,63,0.02,-1,1,80.4,26.8,80.2,3.94,86,87.4
9,0.8,20,28.13,0.72,1,26.9,63,0.02,2,0,80.4,26.8,80.2,3.94,86,87.4
10,0.7,16,27.56,0.64,1,26.9,63,0.02,0,1,80.4,26.8,80.2,3.94,65,87.4
11,0.8,20,28.13,0.72,1,26.9,63,0.02,1,0,80.4,26.8,80.2,3.94,58,87.4
12,0.8,20,28.13,0.72,1,26.9,63,0.02,0,1,80.4,26.8,80.2,3.94,61,87.4
13,0.8,20,28.13,0.72,1,26.9,63,0.02,0,0,80.4,26.8,80.2,3.94,62,87.4
14,0.4,8,26.57,0.7,1,26.9,59,0.21,-2,1,80.4,26.6,79.9,41.34,70,87.4
15,0.4,8,26.57,0.7,1,26.9,59,0.21,-2,1,80.4,26.6,79.9,41.34,72,87.4
16,0.4,9,26.72,0.72,1,26.9,59,0.21,0,1,80.4,26.6,79.9,41.34,72,87.4
17,0.4,9,26.72,0.72,1,26.9,59,0.21,-1,1,80.4,26.6,79.9,41.34,73,87.4
18,0.8,17,28.09,0.72,1.2,26.9,59,0.21,2,1,80.4,26.6,79.9,41.34,64,87.4
19,0.8,19,28.4,0.72,1.2,26.4,59,0.21,1,1,79.5,26.8,80.2,41.34,68,87.4
20,0.8,17,28.09,0.72,1.2,26.9,59,0.21,-1,0,80.4,26.6,79.9,41.34,70,87.4
21,0.8,17,28.09,0.72,1.2,26.9,59,0.21,0,1,80.4,26.6,79.9,41.34,48,87.4
22,0.8,17,28.09,0.72,1.2,26.9,59,0.21,0,1,80.4,26.6,79.9,41.34,75,87.4
23,0.7,16,27.94,0.7,1.2,26.9,59,0.21,2,1,80.4,26.6,79.9,41.34,58,87.4
24,0.4,9,26.72,0.72,1,26.9,59,0.21,1,1,80.4,26.6,79.9,41.34,95,87.4
25,0.4,8,26.57,0.7,1,26.9,59,0.21,0,1,80.4,26.6,79.9,41.34,72,87.4
26,-0.5,11,23.13,0.72,1,25.8,60,0.37,0,1,78.4,24.6,76.3,72.83,60,87.4
27,-0.6,12,22.98,0.7,1,25.8,60,0.37,0,0,78.4,24.6,76.3,72.83,72,87.4
28,-0.8,19,22.35,0.62,1,25.8,60,0.37,-1,1,78.4,24.6,76.3,72.83,65,87.4
29,-0.5,11,23.13,0.72,1,25.8,60,0.37,2,0,78.4,24.6,76.3,72.83,69,87.4
30,0.3,6,26.11,0.72,1,26.4,60,0.22,0,0,79.5,26.1,79,43.31,75,87.4
31,0.3,6,26.11,0.72,1,26.4,60,0.22,-1,1,79.5,26.1,79,43.31,85,87.4
32,0.3,6,26.11,0.72,1,26.4,60,0.22,1,0,79.5,26.1,79,43.31,72,87.4
33,0.3,6,26.11,0.72,1,26.4,60,0.22,0,1,79.5,26.1,79,43.31,64,87.4
34,0.2,6,25.96,0.7,1,26.4,60,0.22,-1,1,79.5,26.1,79,43.31,71,87.4
35,0.3,6,26.11,0.72,1,26.4,60,0.22,1,0,79.5,26.1,79,43.31,75,87.4
36,0.3,6,26.11,0.72,1,26.4,60,0.22,0,1,79.5,26.1,79,43.31,85,87.4
37,-0.1,5,25.58,0.72,1,24.7,58,0.14,0,1,76.5,24.8,76.6,27.56,82,87.4
38,-0.1,5,25.58,0.72,1,24.7,58,0.14,-1,1,76.5,24.8,76.6,27.56,79,87.4
39,-0.1,5,25.58,0.72,1,24.7,58,0.14,0,0,76.5,24.8,76.6,27.56,85,87.4
40,-0.1,5,25.58,0.72,1,24.7,58,0.14,-1,1,76.5,24.8,76.6,27.56,82,87.4
41,0.6,12,26.84,0.66,1,26.8,48,0.01,0,1,80.2,26.6,79.9,1.97,72,87.4
42,0.5,11,26.71,0.64,1,26.8,48,0.01,1,1,80.2,26.6,79.9,1.97,85,87.4
43,0.5,11,26.71,0.64,1,26.8,48,0.01,-1,1,80.2,26.6,79.9,1.97,55,87.4
44,0.5,11,26.71,0.64,1,26.8,48,0.01,1,1,80.2,26.6,79.9,1.97,60,87.4
45,0.9,21,28.36,0.9,1,26.8,48,0.01,-2,1,80.2,26.6,79.9,1.97,50,87.4
46,0.8,19,27.99,0.84,1,26.8,48,0.01,-1,1,80.2,26.6,79.9,1.97,45,87.4
47,0.8,19,27.99,0.84,1,26.8,48,0.01,-1,1,80.2,26.6,79.9,1.97,43,87.4
48,0.5,11,26.71,0.64,1,26.8,48,0.01,-2,1,80.2,26.6,79.9,1.97,54,87.4
49,0.2,6,25.96,0.84,1,26.3,49,0.25,-2,1,79.3,25.8,78.4,49.21,62,87.4
50,0.4,9,26.81,0.97,1,26.3,49,0.25,2,1,79.3,25.8,78.4,49.21,55,87.4
51,0.1,5,25.35,0.75,1,26.3,49,0.25,-1,1,79.3,25.8,78.4,49.21,65,87.4
52,0.1,5,25.35,0.75,1,26.3,49,0.25,2,1,79.3,25.8,78.4,49.21,70,87.4
53,0.3,7,26.04,0.68,1.2,26.3,49,0.25,2,0,79.3,25.8,78.4,49.21,73,87.4
54,0.2,6,25.96,0.84,1,26.3,49,0.25,0,1,79.3,25.8,78.4,49.21,68,87.4
55,0.3,7,26.36,0.9,1,26.3,49,0.25,-1,1,79.3,25.8,78.4,49.21,68,87.4
56,0.1,5,25.72,0.75,1,25.2,43,0.02,-1,1,77.4,25.1,77.2,3.94,47,87.4
57,0.1,5,25.72,0.75,1,25.2,43,0.02,1,1,77.4,25.1,77.2,3.94,68,87.4
58,0.1,5,25.72,0.75,1,25.2,43,0.02,-2,0,77.4,25.1,77.2,3.94,55,87.4
59,0.4,8,26.67,0.9,1,25.2,43,0.02,-1,1,77.4,25.1,77.2,3.94,65,87.4
60,0.1,5,25.72,0.75,1,25.2,43,0.02,-2,1,77.4,25.1,77.2,3.94,53,87.4
61,0.1,5,25.72,0.75,1,25.2,43,0.02,-2,1,77.4,25.1,77.2,3.94,52,87.4
62,0.1,5,25.39,0.7,1,25.2,43,0.02,-1,1,77.4,25.1,77.2,3.94,60,87.4
63,-0.1,5,24.99,0.64,1,25.2,43,0.02,0,1,77.4,25.1,77.2,3.94,70,87.4
64,0.1,5,25.52,0.72,1,25.2,43,0.02,0,1,77.4,25.1,77.2,3.94,68,87.4
65,1.5,50,28.87,0.72,1,30.2,60,0.51,1,0,86.4,29.9,85.8,100.39,62,87.4
66,1.5,50,28.87,0.72,1,30.2,60,0.51,2,0,86.4,29.9,85.8,100.39,80,87.4
67,1.5,49,28.72,0.7,1,30.2,60,0.51,2,1,86.4,29.9,85.8,100.39,56,87.4
68,1.5,50,28.87,0.72,1,30.2,60,0.51,2,1,86.4,29.9,85.8,100.39,55,87.4
