,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Thermal sensation,Thermal preference,Thermal comfort,activity_10,activity_20,activity_30,activity_60,Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Italy,1.1,33,28.48,0.39,1.2,28.4,53,0,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,5,1.2,1.2,1.2,1.2,83.1,28.4,83.1,26.7,80.1,29.4,85,29.1,84.4,29,84.1,28.4,83.1,0,0,0,0,0,0,0,0,0,0,1,0,25,77,Database 2
1,Italy,1.1,29,27.94,0.32,1.2,28.4,53,0,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,5,1.2,1.2,1.2,1.2,83.1,28.4,83.1,26.7,80.1,29.4,85,29.1,84.4,29,84.1,28.4,83.1,0,0,0,0,0,0,0,1,0,0,1,0,25,77,Database 2
2,Italy,0.3,7,25.59,0.32,1.2,27.3,61.6,0.06,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,5,1.2,1.2,1.2,1.2,81.1,27.3,81.1,26.5,79.8,26.8,80.3,26.9,80.4,26.5,79.7,25,77,11.81,0.06,11.81,0.06,11.82,0,0,1,0,0,1,0,25,77,Database 2
3,Italy,-0.1,5,24.27,0.38,1.1,25.7,58.7,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,5,1,1,1,1,78.2,25.7,78.2,24.9,76.7,25.9,78.6,25.6,78.1,25.7,78.2,24.7,76.5,7.87,0.04,7.87,0.02,3.94,0,0,0,0,1,0,0,25,77,Database 2
4,Italy,-0.3,7,23.86,0.38,1,25.9,58,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Air Conditioned,Mechanical Heating,0,no change,5,1,1,1,1,78.5,25.9,78.5,25.1,77.1,26,78.9,25.9,78.6,25.8,78.4,24.8,76.6,3.94,0.02,3.94,0.02,3.94,0,0,0,0,0,0,0,25,77,Database 2
5,Italy,0,5,24.67,0.32,1.2,25.9,58,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,no change,6,1.2,1.2,1.2,1.2,78.5,25.9,78.5,25.1,77.1,26,78.9,25.9,78.6,25.8,78.4,24.8,76.6,3.94,0.02,3.94,0.02,3.94,0,0,0,0,1,0,0,25,77,Database 2
6,Italy,0,5,24.63,0.32,1.2,25.7,59.9,0.02,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Air Conditioned,Mechanical Heating,0,no change,5,1.2,1.2,1.2,1.2,78.2,25.7,78.2,24.9,76.9,25.8,78.5,25.9,78.5,25.8,78.4,24.7,76.4,3.94,0.02,3.94,0.04,7.88,0,0,0,0,0,0,0,25,77,Database 2
7,Italy,0.1,5,25.04,0.4,1.2,25.8,66.5,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,0,cooler,4,1.2,1.2,1.2,1.2,78.4,25.8,78.4,24.9,76.8,25.4,77.7,25.4,77.6,25.3,77.6,23.9,75,7.87,0.04,7.87,0.02,3.94,0,0,1,0,0,1,0,25,77,Database 2
8,Italy,-0.2,6,23.95,0.45,1.1,25.3,51.2,0,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,5,1,1,1,1.2,77.5,25.3,77.5,24.2,75.6,25,76.9,24.8,76.6,24.7,76.5,23.5,74.3,0,0,0,0,0,0,0,1,0,0,1,0,25,77,Database 2
9,Italy,0,5,24.62,0.4,1.2,25.7,58.8,0.04,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008,Summer,Cfa,Humid subtropical,Lodi,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,1,cooler,5,1.2,1.2,1.2,1.2,78.2,25.7,78.2,24.7,76.5,25.3,77.5,25.3,77.5,25.2,77.3,23.8,74.9,7.87,0.04,7.87,0.02,3.94,0,0,1,0,0,1,0,25,77,Database 2
