,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Philippines,0.2,6,26.23,0.75,1.2,24.4,41.5,0.12,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,1,1,no change,1,no change,5,75.8,24.1,75.3,24.48,25.9,78.6,Database 2
1,Philippines,0.4,9,27.24,0.76,1.4,24,41.9,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,5,75.3,23.8,74.8,20.61,25.9,78.6,Database 2
2,Philippines,-0.3,7,23.91,0.73,1.1,23.5,41.2,0.09,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,warmer,1,no change,5,74.3,22.7,72.9,18.27,25.9,78.6,Database 2
3,Philippines,0,5,25.64,0.85,1.2,22.8,43.8,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,5,73,22.5,72.5,19.19,25.9,78.6,Database 2
4,Philippines,0.5,9,27.33,0.73,1.5,23.1,45,0.03,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,no change,4,73.5,23.4,74.1,5.54,25.9,78.6,Database 2
5,Philippines,-0.8,20,22.84,0.53,1.1,23.4,45.4,0.13,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,0,warmer,0,less,4,74.1,23.4,74.1,26.51,25.9,78.6,Database 2
6,Philippines,0.3,7,26.52,0.57,1.5,25.5,41.8,0.13,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,more,5,77.9,24,75.2,25.96,25.9,78.6,Database 2
7,Philippines,0.3,6,26.12,0.72,1.2,24.5,43.4,0.09,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,cooler,1,no change,5,76.1,24,75.2,17.22,25.9,78.6,Database 2
8,Philippines,0.3,7,26.41,0.87,1.1,24.3,41.9,0.07,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,5,75.7,24.2,75.6,12.86,25.9,78.6,Database 2
9,Philippines,0.1,5,25.75,0.81,1.2,24,41.3,0.09,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,5,75.2,23.5,74.4,17.72,25.9,78.6,Database 2
