,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Portugal,1.1,28,30.06,0.63,1.5,25.7,62.3,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,78.3,27.3,81.1,26.8,80.2,no change,0,0,18.3,64.9,Database 2
1,Portugal,0.8,18,28.48,0.7,1.2,25.4,61.7,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,less,77.7,27.1,80.8,26.6,79.9,no change,0,0,18.3,64.9,Database 2
2,Portugal,0.7,15,27.7,0.67,1.1,25.6,59.7,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,cooler,less,78.1,27.2,81,26.7,80.1,no change,0,19.69,18.3,64.9,Database 2
3,Portugal,0.6,12,27.49,0.62,1.2,25.1,60.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77.2,26.9,80.4,26.3,79.3,no change,0,0,18.3,64.9,Database 2
4,Portugal,0.7,16,28.29,0.67,1.2,24.8,60.5,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,no change,76.6,27,80.6,26.1,79,no change,1,19.69,18.3,64.9,Database 2
5,Portugal,0.8,18,28.65,0.73,1.2,24.9,60.9,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,less,76.8,26.6,79.9,26,78.8,drier,-1,19.69,18.3,64.9,Database 2
6,Portugal,1.1,32,31.33,0.88,1.4,24.7,60.7,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,cooler,no change,76.5,26.9,80.4,26,78.8,no change,0,19.69,18.3,64.9,Database 2
7,Portugal,0.6,13,27.68,0.61,1.2,25.1,59.4,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,cooler,less,77.2,26.6,79.9,26,78.8,no change,0,19.69,18.3,64.9,Database 2
8,Portugal,1,25,29.78,0.63,1.5,25,59.6,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77,27,80.6,26.2,79.2,drier,-1,19.69,18.3,64.9,Database 2
9,Portugal,1.3,38,32.4,0.96,1.5,24.5,60.9,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,less,76.1,27.2,81,26.1,79,drier,-1,19.69,18.3,64.9,Database 2
10,Portugal,0.8,20,28.98,0.75,1.2,24.6,60.7,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,less,76.3,27.5,81.5,26.2,79.2,no change,0,19.69,18.3,64.9,Database 2
11,Portugal,0.9,21,29.07,0.56,1.4,25.1,60.4,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,cooler,less,77.2,27.3,81.1,26.4,79.5,drier,-1,19.69,18.3,64.9,Database 2
12,Portugal,0.9,21,29.01,0.64,1.4,25.3,59.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77.5,27,80.6,26.4,79.5,more humid,1,0,18.3,64.9,Database 2
13,Portugal,0.9,21,29.19,0.66,1.3,25.5,61.5,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77.9,26.7,80.1,26.2,79.2,drier,-1,19.69,18.3,64.9,Database 2
14,Portugal,0.8,18,28.47,0.68,1.3,25.4,59.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77.7,26.8,80.2,26.4,79.5,drier,-1,0,18.3,64.9,Database 2
