,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
0,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
1,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
2,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
3,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,1,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
4,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
5,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
6,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-2,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
7,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,0,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
8,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-2,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
9,Singapore,0.6,13,,,,22.8,62,0.17,"Sekhar, S. C., Tham, K. W., & Cheong, K. W. (2003). Indoor air quality and energy performance of air-conditioned office buildings in Singapore. Indoor air, 13(4), 315-331.",Tham K. W. ,1996,Summer,Af,Tropical rainforest,Singapore,Office,Air Conditioned,-1,73,,,,,23.4,74.1,,,,,33.46,,,Database 2
