,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Sweden,1.3,39,30.48,0.45,2.3,25,43.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,no change,77,25,77,25,77,no change,-1,0,,,Database 2
1,Sweden,0.4,9,26.36,0.58,1.2,25.6,41.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,more,78.1,25.9,78.6,25.8,78.4,more humid,2,0,,,Database 2
2,Sweden,0.5,10,26.76,0.6,1.2,25.7,41.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,less,78.3,26.3,79.3,26.2,79.2,drier,-1,0,,,Database 2
3,Sweden,0.6,12,27,0.63,1.2,25.8,40.1,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,78.4,26.4,79.5,26.3,79.3,no change,0,0,,,Database 2
4,Sweden,0.6,12,26.9,0.57,1.2,26,39.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,no change,78.8,27,80.6,26.8,80.2,more humid,1,0,,,Database 2
5,Sweden,0.3,6,25.59,0.44,1.2,25.7,41,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,less,78.3,26.5,79.7,26.3,79.3,more humid,3,0,,,Database 2
6,Sweden,0.7,15,27.44,0.51,1.4,25.7,41.7,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,more,78.3,26.9,80.4,26.5,79.7,no change,-1,0,,,Database 2
7,Sweden,0.8,20,28.3,0.53,1.6,25.5,41.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,less,77.9,26.1,79,26,78.8,drier,-2,0,,,Database 2
8,Sweden,0.3,7,26.14,0.61,1.2,25,39.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,77,25.9,78.6,25.6,78.1,more humid,3,0,,,Database 2
9,Sweden,0,5,24.68,0.44,1.2,24.7,39.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,-1,cooler,no change,76.5,25.9,78.6,25.5,77.9,no change,0,0,,,Database 2
10,Sweden,0.8,19,28.15,0.52,1.6,25.4,39.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,no change,no change,77.7,26.3,79.3,26.1,79,no change,2,0,,,Database 2
11,Sweden,0.1,5,25.26,0.43,1.2,25.3,39.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,less,77.5,26.5,79.7,26.2,79.2,drier,-2,0,,,Database 2
12,Sweden,0.8,18,28.38,0.76,1.3,25.4,40.6,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,77.7,26,78.8,25.9,78.6,no change,0,0,,,Database 2
13,Sweden,1,28,28.79,0.35,2,25.4,43.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,no change,77.7,26.1,79,26,78.8,no change,1,0,,,Database 2
14,Sweden,0.4,9,26.55,0.59,1.2,25.4,41.7,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,less,77.7,26.5,79.7,26.2,79.2,drier,-2,0,,,Database 2
15,Sweden,0.9,20,28.47,0.56,1.6,25.4,41.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,no change,77.7,26,78.8,25.9,78.6,no change,0,0,,,Database 2
16,Sweden,0.5,10,26.51,0.57,1.2,26,38.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,less,78.8,26.2,79.2,26.1,79,more humid,1,0,,,Database 2
17,Sweden,0.4,8,26.18,0.55,1.2,25.5,38.3,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,no change,77.9,26.5,79.7,26.2,79.2,drier,-2,0,,,Database 2
18,Sweden,0.6,12,27.66,0.43,1.9,22.8,56.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,73,24.3,75.7,24,75.2,more humid,0,0,,,Database 2
19,Sweden,0.6,14,28.1,0.48,1.9,22.7,56,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,less,72.9,24.2,75.6,24,75.2,more humid,-2,0,,,Database 2
20,Sweden,0.5,10,27.22,0.77,1.2,24.3,54,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,less,75.7,25.1,77.2,25,77,no change,0,0,,,Database 2
21,Sweden,0.8,20,28.22,0.35,1.9,24.7,53.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,less,76.5,25.4,77.7,25.3,77.5,no change,0,0,,,Database 2
22,Sweden,0.2,6,25.84,0.63,1.2,24.1,52.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,less,75.4,24.9,76.8,24.7,76.5,more humid,1,0,,,Database 2
23,Sweden,0.7,16,28.3,0.51,1.8,23.9,54,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,less,75,24.3,75.7,24.3,75.7,no change,0,0,,,Database 2
24,Sweden,0,5,25.24,0.63,1.2,22.9,57.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,73.2,24.7,76.5,24.4,75.9,no change,0,0,,,Database 2
25,Sweden,1,25,30.44,0.7,1.9,23.7,54.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,74.7,24.3,75.7,24.2,75.6,drier,-1,0,,,Database 2
26,Sweden,-0.1,5,25.05,0.72,1.2,22.4,53.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,more,72.3,23.8,74.8,23.4,74.1,no change,0,0,,,Database 2
