,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡F)
0,1.3,39.0,30.48,0.45,2.3,25.0,43.4,0.0,1.0,77.0,25.0,77.0,25.0,77.0,-1.0,0.0,70.7
1,0.4,9.0,26.36,0.58,1.2,25.6,41.8,0.0,2.0,78.1,25.9,78.6,25.8,78.4,2.0,0.0,70.7
2,0.5,10.0,26.76,0.6,1.2,25.7,41.8,0.0,1.0,78.3,26.3,79.3,26.2,79.2,-1.0,0.0,69.66666666666667
3,0.6,12.0,27.0,0.63,1.2,25.8,40.1,0.0,0.0,78.4,26.4,79.5,26.3,79.3,0.0,0.0,70.7
4,0.6,12.0,26.9,0.57,1.2,26.0,39.8,0.0,1.0,78.8,27.0,80.6,26.8,80.2,1.0,0.0,70.7
5,0.3,6.0,25.59,0.44,1.2,25.7,41.0,0.0,2.0,78.3,26.5,79.7,26.3,79.3,3.0,0.0,70.7
6,0.7,15.0,27.44,0.51,1.4,25.7,41.7,0.0,2.0,78.3,26.9,80.4,26.5,79.7,-1.0,0.0,63.366666666666674
7,0.8,20.0,28.3,0.53,1.6,25.5,41.2,0.0,2.0,77.9,26.1,79.0,26.0,78.8,-2.0,0.0,63.36666666666667
8,0.3,7.0,26.14,0.61,1.2,25.0,39.8,0.0,0.0,77.0,25.9,78.6,25.6,78.1,3.0,0.0,70.7
9,0.0,5.0,24.68,0.44,1.2,24.7,39.4,0.0,-1.0,76.5,25.9,78.6,25.5,77.9,0.0,0.0,70.7
10,0.8,19.0,28.15,0.52,1.6,25.4,39.8,0.0,1.0,77.7,26.3,79.3,26.1,79.0,2.0,0.0,70.7
11,0.1,5.0,25.26,0.43,1.2,25.3,39.9,0.0,2.0,77.5,26.5,79.7,26.2,79.2,-2.0,0.0,69.66666666666667
12,0.8,18.0,28.38,0.76,1.3,25.4,40.6,0.0,0.0,77.7,26.0,78.8,25.9,78.6,0.0,0.0,69.66666666666667
13,1.0,28.0,28.79,0.35,2.0,25.4,43.4,0.0,1.0,77.7,26.1,79.0,26.0,78.8,1.0,0.0,70.7
14,0.4,9.0,26.55,0.59,1.2,25.4,41.7,0.0,1.0,77.7,26.5,79.7,26.2,79.2,-2.0,0.0,70.7
15,0.9,20.0,28.47,0.56,1.6,25.4,41.5,0.0,1.0,77.7,26.0,78.8,25.9,78.6,0.0,0.0,63.36666666666667
16,0.5,10.0,26.51,0.57,1.2,26.0,38.9,0.0,2.0,78.8,26.2,79.2,26.1,79.0,1.0,0.0,70.7
