,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
0,Thailand,-0.1,5.19,25.39,0.65,1.1,23.8,62,0.14,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,37,0,cooler,74.8,23.8,74.8,24.3,75.8,24.9,76.8,27.56,0.14,27.56,Database 1
1,Thailand,0.05,5.05,25.28,0.56,1.1,24.3,61.3,0.09,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26,1,cooler,75.7,24.3,75.7,24.8,76.7,25.4,77.7,17.72,0.09,17.72,Database 1
2,Thailand,-0.59,12.37,23.37,0.56,1.1,23.5,62,0.24,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,26,1,no change,74.3,23.5,74.3,24.2,75.6,25,76.9,47.24,0.24,47.24,Database 1
3,Thailand,-0.12,5.29,25.13,0.65,1.1,23.6,61.4,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,37,1,cooler,74.5,23.6,74.5,24.1,75.4,24.6,76.2,23.62,0.12,23.62,Database 1
4,Thailand,0.04,5.03,25.48,0.56,1.1,24.5,58.3,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31,1,cooler,76.1,24.5,76.1,25.1,77.2,25.7,78.2,21.65,0.11,21.65,Database 1
5,Thailand,0.08,5.13,25.69,0.56,1.1,24.9,57,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,39,1,cooler,76.8,24.9,76.8,25.3,77.6,25.8,78.4,23.62,0.12,23.62,Database 1
6,Thailand,0.09,5.17,25.87,0.69,1.1,24.3,60.6,0.12,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,27,-1,no change,75.7,24.3,75.7,24.5,76.1,24.7,76.5,23.62,0.12,23.62,Database 1
7,Thailand,0.17,5.58,26.42,0.84,1.1,23.9,60,0.15,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,51,1,cooler,75,23.9,75,24.2,75.5,24.4,76,29.53,0.15,29.53,Database 1
8,Thailand,0.08,5.14,25.56,0.65,1.1,24.4,59.1,0.1,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,75,-2,warmer,75.9,24.4,75.9,24.6,76.2,24.7,76.5,19.69,0.1,19.69,Database 1
9,Thailand,-0.15,5.49,24.54,0.47,1.1,24.6,59.3,0.1,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,31,1,cooler,76.3,24.6,76.3,24.9,76.9,25.2,77.4,19.69,0.1,19.69,Database 1
10,Thailand,0.54,11.01,27.79,0.88,1.1,24.6,58.4,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,28,0,cooler,76.3,24.6,76.3,25,77.1,25.5,77.8,21.65,0.11,21.65,Database 1
11,Thailand,0.23,6.11,26.21,0.63,1.1,24.9,58,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,,0,cooler,76.8,24.9,76.8,25.3,77.5,25.7,78.2,21.65,0.11,21.65,Database 1
12,Thailand,-0.2,5.87,24.45,0.41,1.1,24.9,57.6,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,34,0,no change,76.8,24.9,76.8,25.3,77.5,25.7,78.2,21.65,0.11,21.65,Database 1
13,Thailand,-0.1,5.2,25.05,0.61,1.1,23.8,58.4,0.11,Busch J. F. (1992) A tale of two populations: thermal comfort in air-conditioned and naturally ventilated offices in Thailand. Energy and Buildings Vol 18 pp 235-249.,John Busch,1988,Spring,Aw,Tropical wet savanna,Bangkok,Office,Air Conditioned,,0,no change,74.8,23.8,74.8,24.3,75.8,24.9,76.8,21.65,0.11,21.65,Database 1
