,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,activity_10,activity_30,Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Blind (curtain),Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Tunisia,-1.2,34,20.61,0.83,1.2,17.4,77,0.05,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1,1.6,63.3,17.4,63.3,17.5,63.4,17.5,63.5,10.31,0.05,10.31,0,0,12,53.6,Database 2
1,Tunisia,-2.4,92,17.73,0.77,1,15.9,72,0.05,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1,1,60.6,15.9,60.6,16.3,61.4,16.6,61.9,8.92,0.05,8.92,0,0,12,53.6,Database 2
2,Tunisia,,,,0.87,1.6,,78,0.47,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.6,1.6,,14.7,58.5,,,15.1,59.2,92.49,0.47,92.56,,,12,53.6,Database 2
3,Tunisia,,,,1.76,,16.3,75,0.08,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,1,2,,,61.3,16.3,61.3,,,17,62.6,15.78,0.08,15.79,0,0,12,53.6,Database 2
4,Tunisia,-0.3,7,24.4,1.07,1.5,15.6,70,0.1,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,1,5,1,2.8,60.1,15.6,60.1,,,15.7,60.3,18.73,0.1,18.75,1,0,12,53.6,Database 2
5,Tunisia,0.2,6,27.18,1.52,1.1,18.8,52,0.06,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,0,2,1,1.2,65.9,18.8,65.9,,,20.9,69.7,12.69,0.06,12.7,0,0,12,53.6,Database 2
6,Tunisia,-0.9,23,21.75,1.26,1.1,16.3,72,0.07,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,5,1,1.2,61.3,16.3,61.3,,,16.6,61.9,13.57,0.07,13.58,0,1,12,53.6,Database 2
7,Tunisia,-0.6,13,23.06,1.12,1.2,17,71,0.11,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-1,5,1.2,1.2,62.6,17,62.6,,,17.4,63.3,20.94,0.11,20.95,0,1,12,53.6,Database 2
8,Tunisia,-0.7,14,23.33,1.47,1.1,16.3,70,0.13,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,2,1,1.2,61.3,16.3,61.3,,,16.7,62.1,24.88,0.13,24.9,0,0,12,53.6,Database 2
9,Tunisia,-0.6,13,23.43,1.39,1.2,15.6,76,0.14,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,2,2,1,1.6,60.1,15.6,60.1,,,15.8,60.4,27.58,0.14,27.6,0,0,12,53.6,Database 2
10,Tunisia,-0.8,18,22.37,1.37,1.1,16.2,69,0.09,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,2,1,1.2,61.2,16.2,61.2,,,16.5,61.7,16.88,0.09,16.89,0,0,12,53.6,Database 2
11,Tunisia,-0.3,7,25.19,1.26,1.1,18.9,55,0.26,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-1,2,1,1.2,66.1,18.9,66.1,,,20.8,69.5,51.43,0.26,51.47,0,0,12,53.6,Database 2
12,Tunisia,-0.9,22,21.91,1.31,1.1,16.1,69,0.1,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,2,1,1.2,61,16.1,61,,,16.4,61.5,19.49,0.1,19.51,0,0,12,53.6,Database 2
13,Tunisia,0.2,6,27.64,1.75,1.1,19.4,57,0.09,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,2,1,1.2,67,19.4,67,,,19.6,67.3,17.81,0.09,17.82,0,0,12,53.6,Database 2
14,Tunisia,,,,,1.1,16.4,71,0.05,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,2,1,1.2,61.5,16.4,61.5,,,17,62.6,9.36,0.05,9.36,0,1,12,53.6,Database 2
15,Tunisia,-0.7,14,22.94,1.47,1.1,16.1,69,0.1,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,2,1,1.2,61,16.1,61,,,16.4,61.5,19.49,0.1,19.51,0,0,12,53.6,Database 2
16,Tunisia,-0.6,13,23.6,1.63,1.1,15.6,76,0.14,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Office,Naturally Ventilated,-2,2,1,1.2,60.1,15.6,60.1,,,15.8,60.4,27.58,0.14,27.6,0,0,12,53.6,Database 2
17,Tunisia,-0.8,19,22.27,0.69,1.3,19.5,52,0.13,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.6,67.1,19.5,67.1,,,19.5,67.1,25.57,0.13,25.59,,,12,53.6,Database 2
18,Tunisia,-0.6,14,22.8,1.11,1.3,16,55,0.07,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.6,60.8,16,60.8,,,16.2,61.2,13.22,0.07,13.23,0,0,12,53.6,Database 2
19,Tunisia,,,,,1.3,15.8,54.5,0.14,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.6,60.4,15.8,60.4,,,15.9,60.6,27.98,0.14,28.01,0,0,12,53.6,Database 2
20,Tunisia,-1.1,32,20.87,1.06,1.2,15.9,54,0.1,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1,1.6,60.6,15.9,60.6,,,16,60.8,19.18,0.1,19.2,0,0,12,53.6,Database 2
21,Tunisia,-1,28,21.46,0.83,1.3,17,50.5,0.16,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,-2,5,1.2,1.6,62.6,17,62.6,,,17.5,63.5,30.55,0.16,30.57,1,1,12,53.6,Database 2
22,Tunisia,-0.4,8,24.41,1.06,1.2,19.5,52,0.12,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.2,67.1,19.5,67.1,,,19.6,67.3,23.81,0.12,23.83,,,12,53.6,Database 2
23,Tunisia,-1,27,20.99,0.91,1.3,16,55,0.07,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.6,60.8,16,60.8,,,16.1,61,13.22,0.07,13.23,0,0,12,53.6,Database 2
24,Tunisia,-0.5,10,23.46,0.96,1.3,19.4,42.5,0.34,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.6,66.9,19.4,66.9,,,20.1,68.2,67.34,0.34,67.39,,,12,53.6,Database 2
25,Tunisia,0.1,5,26.42,1.07,1.2,20.2,37,0.36,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.2,68.4,20.2,68.4,,,23,73.4,71.04,0.36,71.09,,,12,53.6,Database 2
26,Tunisia,-1.3,39,20.2,0.93,1.3,16.4,48.5,0.36,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.6,61.5,16.4,61.5,,,16.9,62.4,71.32,0.36,71.38,,,12,53.6,Database 2
27,Tunisia,-1.2,37,20.38,0.95,1.3,16.4,48.5,0.36,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997,Winter,BWh,Hot desert,Gabes,Multifamily housing,Naturally Ventilated,0,5,1.2,1.6,61.5,16.4,61.5,,,16.9,62.4,71.32,0.36,71.38,,,12,53.6,Database 2
