PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation
0.3,7,26.48,0.75,1,25.2,64,0.1,-2
0.1,5,25.65,0.64,1,25.2,64,0.1,-1
0.1,5,25.65,0.64,1,25.2,64,0.1,-2
0.3,7,26.48,0.75,1,25.2,64,0.1,-2
0.2,6,26.26,0.72,1,25.2,64,0.1,0
0.2,6,26.26,0.72,1,25.2,64,0.1,-1
0.1,5,25.65,0.64,1,25.2,64,0.1,0
1.1,32,29.79,0.97,1,26.9,63,0.02,2
0.7,17,27.7,0.66,1,26.9,63,0.02,-1
0.8,20,28.13,0.72,1,26.9,63,0.02,2
0.7,16,27.56,0.64,1,26.9,63,0.02,0
0.8,20,28.13,0.72,1,26.9,63,0.02,1
0.8,20,28.13,0.72,1,26.9,63,0.02,0
0.8,20,28.13,0.72,1,26.9,63,0.02,0
0.4,8,26.57,0.7,1,26.9,59,0.21,-2
0.4,8,26.57,0.7,1,26.9,59,0.21,-2
0.4,9,26.72,0.72,1,26.9,59,0.21,0
0.4,9,26.72,0.72,1,26.9,59,0.21,-1
0.8,17,28.09,0.72,1.2,26.9,59,0.21,2
0.8,19,28.4,0.72,1.2,26.4,59,0.21,1
0.8,17,28.09,0.72,1.2,26.9,59,0.21,-1
0.8,17,28.09,0.72,1.2,26.9,59,0.21,0
0.8,17,28.09,0.72,1.2,26.9,59,0.21,0
0.7,16,27.94,0.7,1.2,26.9,59,0.21,2
0.4,9,26.72,0.72,1,26.9,59,0.21,1
0.4,8,26.57,0.7,1,26.9,59,0.21,0
-0.5,11,23.13,0.72,1,25.8,60,0.37,0
-0.6,12,22.98,0.7,1,25.8,60,0.37,0
-0.8,19,22.35,0.62,1,25.8,60,0.37,-1
-0.5,11,23.13,0.72,1,25.8,60,0.37,2
0.3,6,26.11,0.72,1,26.4,60,0.22,0
0.3,6,26.11,0.72,1,26.4,60,0.22,-1
0.3,6,26.11,0.72,1,26.4,60,0.22,1
0.3,6,26.11,0.72,1,26.4,60,0.22,0
0.2,6,25.96,0.7,1,26.4,60,0.22,-1
0.3,6,26.11,0.72,1,26.4,60,0.22,1
0.3,6,26.11,0.72,1,26.4,60,0.22,0
-0.1,5,25.58,0.72,1,24.7,58,0.14,0
-0.1,5,25.58,0.72,1,24.7,58,0.14,-1
-0.1,5,25.58,0.72,1,24.7,58,0.14,0
-0.1,5,25.58,0.72,1,24.7,58,0.14,-1
0.6,12,26.84,0.66,1,26.8,48,0.01,0
0.5,11,26.71,0.64,1,26.8,48,0.01,1
0.5,11,26.71,0.64,1,26.8,48,0.01,-1
0.5,11,26.71,0.64,1,26.8,48,0.01,1
0.9,21,28.36,0.9,1,26.8,48,0.01,-2
0.8,19,27.99,0.84,1,26.8,48,0.01,-1
0.8,19,27.99,0.84,1,26.8,48,0.01,-1
0.5,11,26.71,0.64,1,26.8,48,0.01,-2
0.2,6,25.96,0.84,1,26.3,49,0.25,-2
0.4,9,26.81,0.97,1,26.3,49,0.25,2
0.1,5,25.35,0.75,1,26.3,49,0.25,-1
0.1,5,25.35,0.75,1,26.3,49,0.25,2
0.3,7,26.04,0.68,1.2,26.3,49,0.25,2
0.2,6,25.96,0.84,1,26.3,49,0.25,0
0.3,7,26.36,0.9,1,26.3,49,0.25,-1
0.1,5,25.72,0.75,1,25.2,43,0.02,-1
0.1,5,25.72,0.75,1,25.2,43,0.02,1
0.1,5,25.72,0.75,1,25.2,43,0.02,-2
0.4,8,26.67,0.9,1,25.2,43,0.02,-1
0.1,5,25.72,0.75,1,25.2,43,0.02,-2
0.1,5,25.72,0.75,1,25.2,43,0.02,-2
0.1,5,25.39,0.7,1,25.2,43,0.02,-1
-0.1,5,24.99,0.64,1,25.2,43,0.02,0
0.1,5,25.52,0.72,1,25.2,43,0.02,0
1.5,50,28.87,0.72,1,30.2,60,0.51,1
1.5,50,28.87,0.72,1,30.2,60,0.51,2
1.5,49,28.72,0.7,1,30.2,60,0.51,2
1.5,50,28.87,0.72,1,30.2,60,0.51,2
1.5,50,28.87,0.72,1,30.2,60,0.51,-1
1.5,50,28.87,0.72,1,30.2,60,0.51,0
1.7,64,30.62,0.97,1,30.2,60,0.51,1
