,loss,accuracy,weighted_accuracy,val_loss,val_accuracy,val_weighted_accuracy
0,1.0797357082366943,0.5927541851997375,0.5927541851997375,0.9388722956180573,0.6672041475772857,0.6672041475772857
1,0.8825476229190826,0.6947623789310455,0.6947623789310455,0.9150840401649475,0.6913473904132843,0.6913473904132843
2,0.8376532256603241,0.7193387150764465,0.7193387150764465,0.8058122098445892,0.7328383386135101,0.7328383386135101
3,0.7673979878425599,0.7430094122886658,0.7430094122886658,0.7736419677734375,0.736974549293518,0.736974549293518
4,0.7348812520503998,0.7527933478355407,0.7527933478355407,0.7968049645423889,0.7390340924263,0.7390340924263
0,1.569821047782898,0.22521640956401826,0.22521640956401826,1.5452502012252807,0.23033339381217957,0.23033339381217957
1,1.5401877403259276,0.23066437840461732,0.23066437840461732,1.5604425430297852,0.22419932633638381,0.22419932633638381
2,1.5373509287834168,0.2344903513789177,0.2344903513789177,1.5411695539951324,0.2314097136259079,0.2314097136259079
3,1.533714610338211,0.2411767438054085,0.2411767438054085,1.5359613478183747,0.24083483666181565,0.24083483666181565
4,1.5274732172489167,0.24298845529556273,0.24298845529556273,1.5342798709869385,0.23677584975957872,0.23677584975957872
0,1.384635078907013,0.34526385068893434,0.34526385068893434,1.3005499720573426,0.4013764724135399,0.4013764724135399
1,1.2607955038547516,0.41717019826173785,0.41717019826173785,1.2329114615917205,0.44046151638031006,0.44046151638031006
2,1.1966335952281952,0.4551898941397667,0.4551898941397667,1.188069999217987,0.4509393125772476,0.4509393125772476
3,1.1617920696735382,0.47581087052822113,0.47581087052822113,1.1942729890346526,0.4694648563861847,0.4694648563861847
4,1.1424785077571868,0.49046542644500735,0.49046542644500735,1.1551975905895233,0.4934804245829582,0.4934804245829582
0,1.1692809343338013,0.49209082424640654,0.49209082424640654,1.0662721872329712,0.5664698332548141,0.5664698332548141
1,1.0059723854064941,0.5806584417819977,0.5806584417819977,1.0036341309547425,0.5926584303379059,0.5926584303379059
2,0.9494782745838165,0.6165720582008362,0.6165720582008362,0.9399153292179108,0.6315874993801117,0.6315874993801117
3,0.9114076316356658,0.6415426790714264,0.6415426790714264,0.9186281681060791,0.6364990830421448,0.6364990830421448
4,0.8706069350242615,0.665174663066864,0.665174663066864,0.8778944253921509,0.6753037333488464,0.6753037333488464
0,1.0718681514263153,0.5536393582820892,0.5536393582820892,0.9611169993877411,0.6034597665071487,0.6034597665071487
1,0.9199962258338928,0.6305929988622665,0.6305929988622665,0.8901094496250153,0.6523400187492371,0.6523400187492371
